Sygnatura czasowa,Zaznacz swoj? p?e? biologiczn? ,Wpisz swój wiek,1. Lubi? by? w centrum uwagi na wi?kszych spotkaniach.,2. W du?ych grupach nie czuj? si? przyt?oczony/a.,3.  Rywalizacja dzia?a na mnie mobilizuj?co.,"4. Nad projektami w pracy wol? pracowa? w zespole, ni? samodzielnie.",5. Lubi? prowadzi? dyskusje i dzieli? si? swoimi pomys?ami publicznie.,6. Rozmowy w wi?kszych grupach nie s? dla mnie m?cz?ce.,7. Lubi? podejmowa? ryzyko i próbowa? nowych rzeczy.,"8. Zazwyczaj jestem pierwsz? osob?, która rozpoczyna rozmow?.","9. Mam wielu znajomych, z którymi regularnie sp?dzam czas.",10. Lubi? spontaniczne decyzje i nieprzewidywalne sytuacje.,"11. Dobrze czuj? si? w sytuacjach, w których mog? pozna? nowe osoby.",12. ?atwo anga?uj? si? w rozmowy z nieznajomymi. , 13. Czuj? si? komfortowo b?d?c w centrum uwagi.,14.  Ch?tnie dziel? si? swoimi my?lami i uczuciami z innymi.,15. Podczas pracy grupowej przewodz? dzia?aniom grupy.,16. Ekscytuj? si? na my?l o kolejnej imprezie z przyjació?mi.,17. ?atwo nawi?zuj? nowe znajomo?ci. ,18. Ch?tnie anga?uj? si? w aktywno?ci wymagaj?ce wspó?pracy z innymi.,19. Zazwyczaj preferuj? sp?dza? czas w grupie zamiast w pojedynk?. ,20. Czuj? si? komfortowo podczas wyst?pie? publicznych.
,M??czyzna,22,4,2,4,2,3,3,4,5,4,3,2,2,3,4,3,4,4,2,2,2
,M??czyzna,23,3,2,4,3,3,4,3,3,5,4,2,2,3,3,3,4,3,3,4,3
,M??czyzna,23,3,4,5,4,2,4,3,4,5,4,4,4,3,4,2,4,4,3,2,1
,Kobieta,20,4,4,5,3,5,4,3,3,5,4,5,5,4,4,4,5,5,4,5,5
,Kobieta,22,4,4,3,5,4,5,4,5,5,2,4,4,3,4,4,4,4,4,4,2
,M??czyzna,22,4,2,4,3,4,5,4,3,4,3,3,2,4,4,3,4,4,4,3,1
,M??czyzna,22,2,2,4,3,3,4,5,2,4,4,2,2,2,1,3,3,2,3,4,3
,M??czyzna,23,4,1,4,4,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5
,Kobieta,19,2,3,4,3,3,4,4,3,5,5,4,4,3,3,2,4,4,4,3,3
,Kobieta,20,3,4,4,4,4,4,2,4,5,4,4,4,1,2,4,5,5,4,4,4
,Kobieta,23,4,4,5,3,5,4,2,5,5,2,5,5,5,5,5,5,5,5,3,3
,M??czyzna,22,5,5,3,5,5,5,5,5,5,5,5,4,5,5,3,4,5,5,4,3
,Kobieta,35,2,4,2,5,1,3,4,2,5,4,3,4,3,5,4,5,4,4,4,1
,Kobieta,48,2,5,2,4,4,4,5,4,4,5,4,4,3,4,3,3,5,4,3,3
,Kobieta,21,4,2,4,4,4,4,5,4,5,5,4,5,4,4,4,3,4,4,3,4
,M??czyzna,21,3,2,2,3,2,2,2,1,2,1,3,1,2,2,1,4,3,3,2,2
,Kobieta,21,1,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1
,Kobieta,21,4,2,4,2,5,3,3,4,4,4,5,5,5,4,3,3,5,2,3,4
,Kobieta,45,2,2,5,5,1,5,1,2,2,1,2,1,1,1,1,1,3,3,2,1
,M??czyzna,21,1,1,2,4,2,3,2,5,1,3,2,3,1,4,3,2,3,3,4,3
,Kobieta,23,4,3,2,5,4,3,4,4,4,4,5,4,4,4,4,3,4,5,3,2
,Kobieta,24,1,1,2,1,1,1,1,2,2,1,1,2,1,2,3,1,1,1,1,1
,Kobieta,47,2,5,4,1,4,2,4,2,2,2,4,4,2,2,2,2,2,2,2,4
,Kobieta,23,2,2,3,4,3,2,3,3,2,2,2,2,1,2,2,4,3,3,2,1
,M??czyzna,15,2,1,4,5,4,4,5,5,1,4,4,4,2,1,3,5,5,3,5,3
,Kobieta,21,5,4,5,1,4,4,5,5,3,5,5,5,5,5,2,4,4,3,4,3
,Kobieta,24,2,1,1,1,2,2,4,4,2,2,2,3,2,2,4,2,4,2,5,1
,Kobieta,24,3,4,5,3,1,4,4,3,5,4,3,4,3,4,3,5,5,3,3,1
,M??czyzna,27,3,2,4,2,2,4,3,2,2,3,3,3,3,1,4,4,2,2,2,1
,M??czyzna,25,1,3,2,3,3,2,3,4,2,3,2,3,4,4,3,2,3,2,4,3
,Kobieta,30,1,4,3,5,4,3,3,2,5,2,4,4,1,3,2,4,5,5,5,1
,Kobieta,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Kobieta,47,2,2,2,4,2,2,2,2,1,2,3,1,1,3,1,3,2,3,2,1
,Kobieta,25,2,1,4,5,2,2,3,4,5,4,4,4,2,1,4,4,4,4,4,1
,Kobieta,17,2,5,4,5,1,3,4,4,5,2,3,4,1,2,1,2,4,4,2,1
,Kobieta,31,4,1,4,3,5,5,5,4,4,4,4,5,5,4,3,4,5,5,1,4
,Kobieta,17,3,4,4,1,5,1,4,3,2,2,2,2,2,1,5,2,4,2,5,1
,Kobieta,39,2,2,4,3,3,3,5,4,5,4,4,4,4,4,4,3,4,3,2,3
,Kobieta,17,3,5,5,1,2,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5
,Kobieta,20,4,1,5,3,4,5,5,4,5,4,4,4,4,5,5,3,5,5,4,2
,Kobieta,17,1,1,2,3,1,1,1,1,4,1,1,1,1,1,3,2,1,2,4,1
,Kobieta,17,4,5,5,2,5,5,4,4,5,4,5,5,5,4,4,4,4,4,2,5
,Kobieta,17,2,2,4,4,4,2,4,2,2,1,2,1,2,2,4,2,2,4,3,4
,Kobieta,48,1,5,5,5,2,1,2,2,2,3,4,2,1,2,1,4,4,2,4,5
,Kobieta,31,5,4,5,3,4,4,4,3,4,3,3,2,4,1,3,3,3,3,3,2
,Kobieta,17,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1
,Kobieta,17,2,2,4,3,2,1,4,2,5,4,2,1,2,2,1,4,1,3,2,1
,Kobieta,17 lat,2,1,3,2,3,2,3,2,3,1,3,2,3,3,2,4,3,2,4,1
,Kobieta,20,3,4,4,3,4,4,4,4,5,4,3,4,4,4,3,5,4,4,2,3
,Kobieta,29,2,4,3,4,4,4,4,2,2,2,2,3,3,3,5,3,3,2,2,4
,Kobieta,17,3,4,2,2,5,1,5,4,4,2,5,5,4,4,4,4,4,4,2,3
,Kobieta,39,1,2,2,5,4,4,2,3,1,3,2,4,1,3,4,2,4,4,1,1
,Kobieta,17,3,2,1,4,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,3
,M??czyzna,17,2,4,5,1,5,1,2,1,5,1,4,4,3,2,5,4,5,5,1,5
,M??czyzna,14,3,1,5,5,4,4,5,4,5,4,4,4,4,3,4,2,5,5,5,3
,Kobieta,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Kobieta,17,1,2,1,3,2,3,2,4,2,1,3,1,1,1,4,2,3,4,1,2
,M??czyzna,13,2,4,4,5,1,3,2,2,3,2,4,2,2,2,1,4,3,4,2,1
,Kobieta,16,1,2,4,3,4,2,2,4,4,2,4,3,2,3,4,4,3,3,4,4
,M??czyzna,14,5,5,5,1,5,5,5,3,4,4,5,4,5,5,3,5,4,3,5,4
,M??czyzna,20,1,1,1,1,3,1,5,1,1,3,1,1,1,2,1,1,3,3,1,1
,Kobieta,22,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
,Kobieta,20,3,3,3,2,5,5,5,3,4,5,3,2,3,3,3,3,3,3,3,3
,Kobieta,16,4,4,5,3,2,3,2,4,5,5,5,4,2,1,3,4,4,4,3,1
,Kobieta,21,1,1,1,2,3,1,2,2,2,1,3,4,1,1,1,1,4,4,1,4
,M??czyzna,25,4,3,5,5,5,3,4,5,4,5,4,5,3,4,3,5,5,3,5,2
,M??czyzna,24,3,1,5,1,5,5,4,4,3,1,3,3,3,1,5,3,5,1,1,4
,Kobieta,34,3,2,2,3,4,4,5,5,1,4,4,5,2,1,3,4,4,3,2,1
,Kobieta,23,2,4,1,1,4,4,5,2,2,4,5,5,2,3,1,5,4,2,2,4
,Kobieta,30,2,1,2,3,3,3,4,3,3,3,3,3,1,4,3,3,4,4,3,2
,Kobieta,45,4,5,5,3,4,2,5,4,4,3,4,4,4,4,4,3,5,4,4,4
,M??czyzna,25,2,5,5,4,5,3,3,4,2,2,3,5,1,3,2,4,3,4,2,2
,Kobieta,33,2,2,5,2,2,2,2,4,2,1,3,4,2,5,4,3,4,2,2,2
,Kobieta,33,2,4,2,4,4,4,2,3,4,2,4,4,4,2,4,4,4,4,2,4
,Kobieta,23,3,2,4,3,3,4,4,4,1,3,3,4,3,4,4,3,5,4,3,2
,Kobieta,24,3,4,5,2,5,4,4,3,4,2,3,4,3,4,4,4,4,3,4,3
,Kobieta,24,2,1,1,2,1,1,3,4,3,5,4,4,2,3,5,5,5,2,3,1
,Kobieta,32,2,1,3,2,1,2,5,3,2,4,3,2,1,3,2,1,3,3,1,1
,Kobieta,28,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1
,Kobieta,21,3,2,3,4,4,3,4,4,3,2,3,4,4,4,4,5,4,4,3,3
,Kobieta,36,2,3,1,5,5,5,2,1,4,5,4,2,2,2,5,5,2,5,5,1
,Kobieta,25,4,4,3,5,4,4,4,5,5,5,5,5,4,4,5,4,4,4,4,4
,M??czyzna,20,4,5,5,5,1,5,3,5,5,5,3,4,3,3,2,5,5,4,3,2
,M??czyzna,19,2,2,5,3,3,4,5,2,5,5,4,3,2,2,4,4,4,4,4,1
,M??czyzna,23,3,4,4,5,4,5,4,5,5,5,5,5,4,3,2,5,5,5,5,5
,Kobieta,39,2,2,5,5,2,2,2,2,4,1,1,4,1,2,1,1,2,1,4,1
,M??czyzna,21,4,5,4,4,5,5,5,3,5,3,3,3,3,5,5,5,4,5,5,3
,Kobieta,19,3,3,4,4,2,3,4,4,5,2,3,4,3,1,4,4,4,4,4,1
,M??czyzna,19,3,2,2,4,4,5,5,4,5,5,4,3,2,2,2,5,5,5,5,1
,Kobieta,16,4,5,2,4,5,5,4,2,5,5,4,4,3,3,3,5,4,5,3,4
,Kobieta,27,2,4,2,5,4,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1
,Kobieta,22,2,4,2,3,4,4,3,4,4,3,3,2,5,3,2,3,4,4,4,3
,Kobieta,25,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,Kobieta,21,5,4,3,4,5,3,5,4,4,5,5,4,4,4,4,4,4,4,3,4
,Kobieta,21,3,2,4,3,4,3,4,4,3,4,3,3,3,3,4,4,3,4,1,4
,Kobieta,22,3,2,3,3,3,2,2,4,5,4,3,4,3,3,3,4,4,3,4,2
,M??czyzna,51,2,5,1,2,1,3,2,4,2,4,4,4,2,2,1,4,4,2,3,1
,Kobieta,25,5,5,5,1,5,5,5,5,1,1,1,5,5,5,5,1,1,1,1,5
,Kobieta,16,5,3,5,3,5,3,4,5,5,5,4,1,5,5,5,4,4,3,3,4
,Kobieta,14,5,5,4,3,2,5,5,4,5,5,4,5,5,3,4,5,5,5,5,1
